PRS_NAT,libelle,detail
1083,FORFAIT CONSULTATION URGENCE 3,FU3
1084,FORFAIT CONSULTATION URGENCE 4,FU4
1085,CONSULTATION PROTOCOLE COOPERATIF,GCO
1086,TELESOINS SF,TFS
1087,AIDE ASSISTANT MEDICAL  COMPLEMENT,R7P
1088,AIDE ASSISTANT MEDICAL,P7P
1089,EXAMEN OBLIGATOIRE ENFANT COM,COM
1090,EXAMEN OBLIGATOIRE ENFANT COH,COH
1091,EXAMEN OBLIGATOIRE ENFANT COD,COD
1092,EXAMEN OBLIGATOIRE ENFANT COG,COG
1093,EXAMEN OBLIGATOIRE ENFANT COB,COB
1094,EXAMEN OBLIGATOIRE ENFANT COA,COA
1095,MAJORATION SPECIFIQUE MOINS DE 16 ANS MAYOTTE,MTJ
1096,TELECONSULTATION MEDECIN TRAITANT AVEC EHPAD,TTE
1097,TELE EXPERTISE DOSSIER TRAITANT,TDT
1098,CONSULTATION CCMU 3,U03
1099,CONSULTATION CCMU 4 ET 5,U45
1100,PROTOCOLE MURAINE - BILAN VISUEL,RNM
1101,AVIS PONCTUEL DE CONSULTANT PUPH,APU
1102,AVIS PONCTUEL DE CONSULTANT PSYCHIATRE,APY
1103,AVIS PONCTUEL DE CONSULTANT,APC
1104,CONSULTATION OBLIGATOIRE ENFANT,COE
1105,CONSULTATION COMPLEXE,CCX
1106,MAJORATION CONSULTATION COMPLEXE,MCX
1107,CONSULTATION TRES COMPLEXE ENFANT,CCE
1108,MAJORATION CONSULTATION TRES COMPLEXE,MTX
1109,CONSULTATION SPECIALISTE MEDECINE GENERALE,GS
1110,CONSULTATION MEDECINE GENERALE,G
1111,CONSULTATION COTEE C,C
1112,CONSULTATION COTEE CS,CS
1113,CONSULTATION COTEE CNP,CNP
1114,CONSULTATION SPECIFIQUE CARDIOLOGIE,CSC
1115,CONSULTATION BILAN,CA
1116,MAJORATION FORFAITAIRE TRANSITOIRE,MPC
1117,CONSULTATION DES SPECIALISTES COTEE C2,
1118,"CONSULTATION DES PSYCHIATRES COTEE C2,5",
1119,MAJORATION TRANSITOIRE SPECIFIQUE,MTS
1120,COMPLEMENT CONSULTATION SPECIALISTE,CCS
1121,HONORAIRE DE SURVEILLANCE,HS
1122,EXAMEN SPECIAL (PROTOCOLE),EXS
1123,SUITE D  EXAMEN DE SANTE,SES
1124,REMUNERATION MEDECIN TRAITANT PAR PATIENT  EN ALD,RMT
1125,MAJORATION DE COORDINATION DES GENERALISTES,MCG
1126,MAJORATION DE COORDINATION SPECIALISTES,MCS
1127,MAJORATION DE COORDINATION CARDIOLOGUES,MCC
1128,DIFFERENTIEL REFERENT TRAITANT,DRT
1129,MAJORATION FORFAITAIRE TRANSITOIRE (POUR LES MOINS DE 16 ANS),MPJ
1130,FORFAIT MEDECIN TRAITANT,FMT
1131,MAJORATION CONSULTATION APPAREILLAGE,MTA
1132,MAJORATION CONSULTATION ENDOCRINO,MCE
1133,MAJORATION GENERALISTE ENFANT,MGE
1134,MAJORATION PREMIERE CONSULTATION FAMILLE,MPF
1135,MAJORATION CONSULTATION ANNUELLE FAMILLE,MAF
1136,MAJORATION ANNUELLE DE SYNTHESE,MAS
1137,MAJORATION NOURRISSON,MBB
1138,REMUNERATION ADDITIONNELLE CAPI,RAA
1139,REMUNERATION DES ADHERENTS AU  CAPI,RAC
1140,CONSULTATION SPECIFIQUE DE DEPISTAGE,CDE
1141,MAJORATION PEDIATRE ENFANT,MPE
1142,REMUNERATION ADHESION SOPHIA (SOINS DE VILLE),RSO
1143,REMUNERATION RENOUVELLEMENT SOPHIA (SOINS DE VILLE),RSR
1144,REMUNERATION FORFAITAIRE POUR LE SUIVI DES PATIENTS EN POST ALD,RST
1145,REMUNERATION OBJECTIF MEDECIN ET CENTRES DE SANTE,P4P
1146,REMUNERATION OBJECTIF MEDECIN COMPLEMENT ET CENTRES DE SANTE,R4P
1147,CONTESTATION FORFAIT MEDECIN TRAITANT,CFM
1148,REMUNERATION FORFAITAIRE PAR CONSULTATION POUR LE SUIVI DES PERSONNES AGEES,MPA
1149,CONTESTATION REMUNERATION SUIVI PERSONNES AGEES,CPA
1150,REMUNERATION PRATICIENS TERRITORIAUX DE MEDECINE GENERALE,RPT
1152,MAJORATION SUIVI DES ENFANTS GRANDS PREMATURES OU ATTEINTS DE PATHOLOGIE CONGENITALE GRAVE,MPP
1153,MAJORATION CONSULTATION POUR INSUFFISANT CARDIAQUE APRES HOSPITALISATION,MIC
1154,MAJORATION CONSULTATION SUIVI APRES HOSPITALISATION PATIENTS A FORTE COMORBIDITE,MSH
1155,REMU CAS COTISATIONS SOCIALES,COT
1156,CONT. CAS COT.SOC.,CCO
1157,Acte de téléconsultation,TCP
1158,Acte de télé expertise,TEP
1159,renouvellement d'optique,RNO
1160,TRACAGE COVID,IAS
1161,COMPENSATION DE LA PERTE D'ACTIVITE DES PS,CPS
1162,REMUNERATION DES PRATICIENS TERRITORIAUX DE MEDECINE AMBULATOIRE,RCM
1163,REMUNERATION DEPISTAGE DU CANCER COLORECTAL,KIT
1164,TÉLÉ CONSULTATION - ALD ET / OU EHPAD,TLC
1165,TÉLÉ EXPERTISE - ALD ET/OU EHPAD,TLE
1166,FORFAIT COMPLÉMENTAIRE TÉLÉ EXPERTISE,TEC
1167,VERSEMENT DE PENALITE DE RETARD AMO,NRD
1168,CONSULTATION PREVENTION SANTE SEXUELLE,CCP
1169,REMUNERATION POUR CERTIFICAT DE DECES,RCD
1170,PEC EXCEPTIONNELLE DÉPASSEMENT HONORAIRE,DHE
1171,RÉMUNÉRATION MÉDECIN TRAITANT CENTRES DE SANTÉ,CSR
1172,TELESURVEILLANCE : PS EFFECTUANT L'ACCOMPAGNEMENT,TSA
1173,FORFAIT PATIENTELE MEDECIN TRAITANT,MTF
1174,TELESURVEILLANCE : MEDECIN TELESURVEILLANT,TSM
1175,PEC EXCEPTIONNELLE DEPASSEMENT HONORAIRE TP,DHT
1176,CONTRAT INDIVIDUEL EMBAUCHE - AVANCE,COI
1177,AIDE FINANCIERE MATERNITE PATERNITE ADOPTION,AFC
1178,FORFAIT STRUCT. MEDECIN,P6P
1179,FORFAIT STRUCT. MEDECIN COMPLEMENT,R6P
1180,ROSP MT ENFANT,P5P
1181,ROSP MT ENFANT COMPLEMENT,R5P
1182,REMUNERATION OPTAM,PTM
1183,CONTESTATION OPTAM,CTM
1184,CONTRAT INDIVIDUEL EMBAUCHE - SOLDE,COS
1185,MURAINE - PAIEMENT DU BONUS ANNUEL,RNB
1186,CONTRAT INDIVIDUEL EMBAUCHE   OBJECTIFS COMPLEMENTAIRES,COC
1187,CONTRAT COLLECTIF   AIDE INVESTISSEMENT,CCI
1188,CONTRAT COLLECTIF   ATTEINTE DES OBJECTIFS,CCA
1189,CONTRAT DE FORMATION,COF
1190,TELESURVEILLANCE : PRIME VARIABLE,TSP
1191,TELECONSULTATION TOUTES SPECIALITES,TC
1192,TELECONSULTATION GENERALISTE,TCG
1193,TELE EXPERTISE DE NIVEAU 1,TE1
1194,TELE EXPERTISE DE NIVEAU 2,TE2
1195,FOND INNOVATION - PAIEMENT,A51
1196,FORFAIT INNOVATION SYSTEME DE SANTE,FIS
1197,FORFAIT REQUERANT,RQT
1198,FORFAIT REQUERANT COMPLEMENTAIRE,CRT
1199,DEMANDE TELEEXPERTISE,RQD
1201,TELESURVEILLANCE 1,TVA
1202,TELESURVEILLANCE 2,TVB
1203,RDV PREVENTION MEDECIN SAGE-FEMME,RDV
1209,VISITE SPECIALISTE MEDECINE GENERALE,VGS
1210,VISITE MEDECINE GENERALE,VG
1211,VISITE COTEE V,V
1212,VISITE COTEE VS,VS
1213,VISITE COTEE VNP,VNP
1214,VISITE LONGUE ET COMPLEXE,VL
1215,AVIS PONCTUEL DE CONSULTANT MEDECIN (VISITE),APV
1216,AVIS PONCTUEL DE CONSULTANT PSYCHIATRE (VISITE),AVY
1218,VISITE SOINS PALLIATIFS,VSP
1221,VISITE D  URGENCE,VA
1222,VISITE URGENCE VU/MU,VU
1224,MD (CRITERES MEDICAUX),MD
1225,MDE ( CRITERES ENVIRONNEMENTAUX),MDE
1226,MD DE NUIT,MDN
1227,MD  DE MILIEU NUIT,MDI
1228,MD  DE DIMANCHE ET JOUR FERIES,MDD
1311,ACTES EN K CHIRURGICAL,KC
1312,ACTES DE SPECIALITE EN K,K
1313,ACTES EN K D  URGENCE,KA
1314,FORFAIT CHIRURGIE 1,KFA
1315,FORFAIT CHIRURGIE 2,KFB
1316,ACTES DE DIAGNOSTIC COTES KE,KE
1317,ACTES EN KCC: ACTES SPECIFIQUES DES CHIRURGIENS,KCC
1318,ACTE DE PHONIATRIE PAR MEDECIN,KMO
1319,MAJORATION FORFAIT ACCOUCHEMENT,KFC
1320,"FORFAIT RADIOGRAPHIE,ECHOGRAPHIE",KFD
1321,ACTE DE CHIRURGIE CCAM,ADC
1322,ACTE D'OBSTETRIQUE CCAM,ACO
1323,ACTE D'ANESTHESIE CCAM,ADA
1324,ACTE D'ECHOGRAPHIE CCAM,ADE
1325,ACTE DE CHIRURGIE CD CCAM,ASC
1331,ACTES DE RADIOLOGIE,Z
1332,ACTES DE RADIOLOGIE NUCLEAIRE,ZN
1333,MAJORATION POUR PRODUIT RADIOPHARMACEUTIQUE,PRA
1335,ACTE DE RADIOLOGIE MAMMOGRAPHIE,ZM/ADI
1336,ACTE DE RADIOLOGIE MAMMOGRAPHIE DEPISTAGE,ZM DEPISTAGE/ADI
1341,ACTES D  ANATOMO-CYTO-PATHOLOGIE/MEDECINS,P
1342,MAJORATION ANATOMO-CYTO-PATHOLOGIE,MAP
1345,MAJORATION TRANSITOIRE,MTC
1351,ACTE D'IMAGERIE (hors ECHOGRAPHIE) CCAM,ADI
1352,ACTES TECHNIQUES MEDICAUX  (hors IMAGERIE) CCAM,ATM
1353,ACTE D'IMAGERIE CD CCAM,AID
1354,ACTE TECHNIQUE MEDICAL CD CCAM,ADM
1361,VIDEOCAPSULE,VDC
1400,BRIDGE RAC MODERE,BR1
1401,PROTHESE FIXE RAC 0,PF0
1402,PROTHESE FIXE RAC MODERE,PF1
1403,REPARATION FACETTE PROTHESE AMOVIBLE RAC 0,RF0
1404,REPARATION ADJONCTION RAC 0,RA0
1405,REPARATION PROTHESE ADJOINTE SIMPLE RAC 0,RS0
1406,SUPPLEMENT PROTHESE RESINE RAC 0,SU0
1407,COURONNE TRANSITOIRE RAC MODERE,CT1
1408,COURONNE ZIRCONE RAC MODERE,CZ1
1409,INLAY CORE RAC MODERE,IC1
1410,INLAY ONLAY RAC MOERE,IN1
1411,ACTES EN SCM (ET SPA POUR LA CRPCEN),SCM/SPA
1412,PROTHESE AMOVIBLE RAC MODERE,PA1
1413,REPARATION PROTHESE RAC MODERE,RE1
1414,SUPPLEMENT PROTHESE METALLIQUE RAC MODERE,SU1
1415,PROTHESE FIXE METALLIQUE RAC 0,CM0
1416,COURONNE TRANSITOIRE RAC 0,CT0
1417,COURONNE ZIRCONE RAC 0,CZ0
1418,INLAY CORE RAC 0,IC0
1419,PROTHESE AMOVIBLE RAC 0,PA0
1420,PROTHESE AMOVIBLE DE TRANSITION RAC 0,PT0
1421,ACTES DE PROTHESE DENTAIRE PRATIQUES PAR LE MEDECIN,PRO
1422,TRAITEMENTS D  ORTHODONTIE PRATIQUES PAR LE MEDECIN (ET EOS POUR LA CRPCEN),ORT/EOS
1423,ACTES DE PROTHESE DENTAIRE PRATIQUES PAR LE CHIRURGIEN-DENTISTE,SPR
1424,TRAITEMENTS D  ORTHODONTIE PRATIQUES PAR LE CHIRURGIEN-DENTISTE (ET ETO POUR LA CRPCEN),TO/ETO
1425,COMPLEMENT AT 150% DENTAIRE,ATD
1426,PEC EXCEPTIONNELLE DÉPASSEMENT DENTAIRE,DDE
1427,PEC EXCEPTIONNELLE DEPASSEMENT DENTAIRE TP,DDT
1431,ACTES EN D (ET OCC POUR LA CRPCEN),D/OCC
1432,ACTES EN DC,DC
1433,ACTES EN SC (ET SCA POUR LA CRPCEN),SC/SCA
1434,PREVENTION BUCCO-DENTAIRE: CONSULTATION - MATER,BDC
1435,PREVENTION BUCCO-DENTAIRE: RADIO DEUX CLICHES-MATER,BR2
1436,PREVENTION BUCCO-DENTAIRE: RADIO QUATRE CLICHES-MATER,BR4
1437,Majoration spécifique PDS Clinique Dentiste,MCD
1438,BUCCO DENT. CONSULTATION COMPLEXE MATERNITE,BDX
1439,BUCCO DENT. CONSULTATION ET RADIO PANORAMIQUE MATERNITE,BRP
1451,SOINS DENTAIRES,SDE
1452,"PROTHESE AMOVIBLE DEFINITIVE RESINE, A partir du 01/04/2019 (en date de soins) PROTHESE AMOVIBLE RESINE TARIF LIBRE",PAR
1453,PROPHYLAXIE BUCCO DENTAIRE CCAM,AXI
1454,CONSULTATION CD,CD
1455,CONSULTATION SPECIALISTE CD,CSD
1456,VISITE CD,VD
1457,VISITE SPECIALISTE CD,VSD
1459,INDEMNITE FORFAITAIRE DEPLACEMENT CD,IDD
1460,AVIS PONCTUEL DE CONSULTANT CD,ACD
1461,ACTES DIVERS PROTHESE DENTAIRE CCAM,ADP
1462,"PROTHESE FIXE METALLIQUE, A partir du 01/04/2019 (en date de soins) PROTHESE FIXE METALLIQUE TARIF LIBRE",PFM
1463,PROTHESE DENTAIRE FIXE ESTHETIQUE CCAM,PFE
1464,PROTHESE DENTAIRE AMOVIBLE CCAM,PDA
1465,IMPLANTOLOGIE - CCAM,IMP
1466,TRAITEMENT ORTHOPEDIE DENTO FACIALE CCAM,TOR
1467,CONSULTATION COMPLEXE CD,CXD
1470,ENDODONTIE,END
1471,"INLAY-ONLAY, A partir du 01/04/2019 (en date de soins) INLAY-ONLAY TARIF LIBRE",INO
1472,PARODONTOLOGIE,TDS
1473,"INLAY-CORE, A partir du 01/04/2019 (en date de soins) INLAY-CORE TARIF LIBRE",ICO
1474,"PROTHESE AMOVIBLE DEFINITIVE METALLIQUE, A partir du 01/04/2019 (en date de soins) PROTHESE AMOVIBLE METALLIQUE TARIF LIBRE",PAM
1475,"PROTHESE DENTAIRE PROVISOIRE, A partir du 01/04/2019 (en date de soins) COURONNE TRANSITOIRE TARIF LIBRE",PDT
1476,"PROTHESE FIXE CERAMIQUE, A partir du 01/04/2019 (en date de soins) PROTHESE FIXE CERAMIQUE TARIF LIBRE",PFC
1477,"REPARATION SUR PROTHESE, A partir du 01/04/2019 (en date de soins) REPARATION PROTHESE TARIF LIBRE",RPN
1511,FORFAIT D  ACCOUCHEMENT SIMPLE DES SAGES-FEMMES (FORFAIT N91),A
1512,FORFAIT D  ACCOUCHEMENT MULTIPLE DES SAGES-FEMMES (FORFAIT N92),AM
1521,MAJORATION POUR GARDE,MG
1522,MAJORATION ASTREINTE,MA
1523,Permanence Rémunération demi-journée Chirurgien-dentiste,PRC
1601,CONTRAT PRATIQUE VERSEMENT UNIQUEMENT,CPU
1602,FORFAIT CONTRAT DE BONNES PRATIQUES,CBP
1603,FORFAIT CONTRAT DE BONNES PRATIQUES CP1,CP1
1604,FORFAIT CONTRAT DE BONNES PRATIQUES CP2,CP2
1605,FORFAIT CONTRAT DE BONNES PRATIQUES CP3,CP3
1606,FORFAIT CONTRAT DE BONNES PRATIQUES,CPL
1607,FORFAIT CONTRAT DE SANTE PUBLIQUE INFIRMIER,CSI
1608,FORFAIT CONTRAT DE SANTE PUBLIQUE BIOLOGISTES,CSL
1609,CONTRAT DE BONNES PRATIQUES ZONE RURAL,CBR
1610,RÉMUNÉRATION CONTRAT D'ACCÈS AUX SOINS DENTAIRES,CAD
1611,CONTRAT DE BONNES PRATIQUES ZONE MONTAGNE,CBM
1612,CONTRAT DE BONNES PRATIQUES ZONE URBAINE,CBU
1613,CONTRAT DE BONNES PRATIQUES ZONE FRANCHE URBAINE,ZFU
1614,CONTRAT DE BONNES PRATIQUES TRANSPORTEURS 2006,CP6
1615,CONTRAT DE BONNES PRATIQUES TRANSPORTEURS 2007,CP7
1616,CONTRAT DE BONNES PRATIQUES TRANSPORTEURS 2008,CP8
1617,REDEVANCE CHEF DE CLINIQUE,RCC
1618,COMPLEMENT DE REMUNERATION CHEF DE CLINIQUE,CRC
1619,CONTRAT SANTE SOLIDARITE,CSS
1621,CONTRAT D'AMELIORATION DE L'ORGANISATION DES SOINS - TRANSPORTS,CAT
1622,CONTRAT D'AMELIORATION DE L'ORGANISATION DES SOINS - PHARMACIE/LPP,CAP
1623,REVERSEMENTS CONTRAT D'AMELIORATION DE L'ORGANISATION DES SOINS TRANSPORTS,RCT
1624,REVERSEMENTS CONTRAT D'AMELIORATION DE L'ORGANISATION DES SOINS - PHARMACIE / LPP,RCL
1625,PENALITES CONTRAT D'AMELIORATION DE L'ORGANISATION DES SOINS - TRANSPORT,PCT
1626,PENALITES CONTRAT D'AMELIORATION DE L'ORGANISATION DES SOINS - PHARMACIE / LPP,PCL
1627,CONTRAT INCITATIF CHIRURGIEN-DENTISTE,CIC
1628,DEMO. AIDE FORFAITAIRE GROUPE,ODG
1629,DEMO. AIDE FORFAITAIRE POLE SANTE,ODP
1630,DEMO. ACTIVITE GROUPE,DAG
1631,DEMO. ACTIVITE POLE SANTE,DOP
1632,SST AIDE ACTIVITE,STA
1633,SST FRAIS DEPLACEMENT,STD
1634,CONTESTATION POUR AIDE FORFAITAIRE POUR LES ADHERENTS A L'OPTION DEMOGRAPHIE DANS UN GROUPE,CDG
1635,CONTESTATION POUR AIDE FORFAITAIRE POUR LES ADHERENTS A L'OPTION DEMOGRAPHIE DANS UN POLE DE SANTE,CDP
1636,CONTESTATION POUR AIDE A L'ACTIVITE POUR LES ADHERENTS A L'OPTION DEMOGRAPHIE DANS UN GROUPE,CAG
1637,CONTESTATION POUR AIDE A L'ACTIVITE POUR LES ADHERENTS A L'OPTION DEMOGRAPHIE DANS UN POLE DE SANTE,CAS
1638,CONTESTATION POUR AIDE A L'ACTIVITE POUR LES ADHERENTS A L'OPTION SST,CTA
1639,CONTESTATION POUR FRAIS DE DEPLACEMENT POUR LES ADHERENTS A L'OPTION SST,CTD
1640,FORFAIT AIDE A L'INSTALLATION DU MEDECIN - CAIM,CIM
1641,MAJORATION AIDE À L'INSTALLATION DU MEDECIN - CAIM,MAI
1642,MAJORATION POUR EXERCICE PARTIEL EN HÔPITAL DE PROXIMITÉ - CAIM,EHP
1643,PAIEMENT AIDE ACTIVITE - CSTM,PAA
1644,MAJO REMUNERATION ARS - CSTM,MAM
1645,PAIEMENT PRISE EN CHARGE FRAIS DEPLACEMENT - CSTM,DEP
1646,AIDE FORFAITAIRE - COSCOM,AIF
1647,REMUNERATION COMPLEMENTAIRE ACCUEIL DE STAGIAIRE - COSCOM,RMS
1648,REMUNERATION COMPLEMENTAIRE EXERCICE EN HOPITAL - COSCOM,RHP
1649,PAIEMENT MAJORATION DE LA REMUNERATION ARS - COSCOM,MAO
1650,AIDE A L'ACTIVITE   COTRAM,CAA
1651,PAIEMENT MAJORATION REMUNERATION ARS   COTRAM,MRA
1652,PTMR  -  REMPLACEMENT,RFC
1653,"PTMR  - MALADIE, MATERNITE, PATERNITE",RCR
1654,FORFAIT IPA,IEX
1701,CDS  MEDICAL OPTANT FORF DEBUT,CMD
1702,CDS MEDICAL OPTANT FORF FIN,CMF
1703,CDS MEDICAL OPTANT FORFTACITE,CMT
1704,CDS DENTAIRE OPTANT FORF INITIAL,CDI
1705,CDS DENTAIRE OPTANT FORF SUIVI,CDS
1706,CDS DENTAIRE OPTANT FORF FINAL,CDF
1707,CDS INFIRMIER OPTANT FORF DEBUT,CID
1708,CDS INFIRMIER OPTANT FORF FIN,CIF
1711,FORFAIT MEDECIN REFERENT DEBUT DE CONTRAT,MRD
1712,FORFAIT MEDECIN REFERENT FIN DE CONTRAT,MRF
1715,FORFAIT MENSUEL COORDONNATEUR,FMC
1716,FORFAIT MENSUEL PARTICIPATION,FMP
1717,FORFAIT MENSUEL SOINS,FMS
1718,FORFAIT D'ADHESION ZONE DEFICITAIRE,FAZ
1721,FORFAIT PROFESSIONNEL (F01) FILIERES ET RESEAUX,F01
1722,FORFAIT PROFESSIONNEL (F02) FILIERES ET RESEAUX,F02
1723,FORFAIT PROFESSIONNEL (F03) FILIERES ET RESEAUX,F03
1724,FORFAIT PROFESSIONNEL (F04) FILIERES ET RESEAUX,F04
1725,FORFAIT PROFESSIONNEL (F05) FILIERES ET RESEAUX,F05
1726,FORFAIT PROFESSIONNEL (F06) FILIERES ET RESEAUX,F06
1727,FORFAIT PROFESSIONNEL (F07) FILIERES ET RESEAUX,F07
1728,FORFAIT PROFESSIONNEL (F08) FILIERES ET RESEAUX,F08
1729,FORFAIT PROFESSIONNEL (F09) FILIERES ET RESEAUX,F09
1731,FORFAIT PROFESSIONNEL (F10) FILIERES ET RESEAUX,F10
1732,FORFAIT PROFESSIONNEL (F11) FILIERES ET RESEAUX,F11
1733,FORFAIT PROFESSIONNEL (F12) FILIERES ET RESEAUX,F12
1734,FORFAIT PROFESSIONNEL (F13) FILIERES ET RESEAUX,F13
1735,FORFAIT PROFESSIONNEL (F14) FILIERES ET RESEAUX,F14
1736,FORFAIT PROFESSIONNEL (F15) FILIERES ET RESEAUX,F15
1741,FORFAIT CONSULTATION (FC0) FILIERES ET RESEAUX,FC0
1742,FORFAIT CONSULTATION (FC1) FILIERES ET RESEAUX,FC1
1743,FORFAIT CONSULTATION (FC2) FILIERES ET RESEAUX,FC2
1744,FORFAIT CONSULTATION (FC3) FILIERES ET RESEAUX,FC3
1745,FORFAIT CONSULTATION (FC4) FILIERES ET RESEAUX,FC4
1746,FORFAIT CONSULTATION (FC5) FILIERES ET RESEAUX,FC5
1747,FORFAIT CONSULTATION (FC6) FILIERES ET RESEAUX,FC6
1748,FORFAIT CONSULTATION (FC7) FILIERES ET RESEAUX,FC7
1749,FORFAIT CONSULTATION (FC8) FILIERES ET RESEAUX,FC8
1751,FORFAIT CONSULTATION (FC9) FILIERES ET RESEAUX,FC9
1761,FORFAIT FORMATION (FF0) FILIERES ET RESEAUX,FF0
1762,FORFAIT FORMATION (FF1) FILIERES ET RESEAUX,FF1
1763,FORFAIT FORMATION (FF2) FILIERES ET RESEAUX,FF2
1764,FORFAIT FORMATION (FF3) FILIERES ET RESEAUX,FF3
1765,FORFAIT FORMATION (FF4) FILIERES ET RESEAUX,FF4
1766,FORFAIT FORMATION (FF5) FILIERES ET RESEAUX,FF5
1767,FORFAIT FORMATION (FF6) FILIERES ET RESEAUX,FF6
1768,FORFAIT FORMATION (FF7) FILIERES ET RESEAUX,FF7
1769,FORFAIT FORMATION (FF8) FILIERES ET RESEAUX,FF8
1771,FORFAIT FORMATION (FF9) FILIERES ET RESEAUX,FF9
1781,FORFAIT PREVENTION/DEPISTAGE (FP0) FILIERES ET RESEAUX,FP0
1782,FORFAIT PREVENTION/DEPISTAGE (FP1) FILIERES ET RESEAUX,FP1
1783,FORFAIT PREVENTION/DEPISTAGE (FP2) FILIERES ET RESEAUX,FP2
1784,FORFAIT PREVENTION/DEPISTAGE (FP3) FILIERES ET RESEAUX,FP3
1785,FORFAIT PREVENTION/DEPISTAGE (FP4) FILIERES ET RESEAUX,FP4
1786,FORFAIT PREVENTION/DEPISTAGE (FP5) FILIERES ET RESEAUX,FP5
1787,FORFAIT PREVENTION/DEPISTAGE (FP6) FILIERES ET RESEAUX,FP6
1788,FORFAIT PREVENTION/DEPISTAGE (FP7) FILIERES ET RESEAUX,FP7
1789,FORFAIT PREVENTION/DEPISTAGE (FP8) FILIERES ET RESEAUX,FP8
1791,FORFAIT PREVENTION/DEPISTAGE (FP9) FILIERES ET RESEAUX,FP9
1811,IK PLAINE,IK IKP
1812,IK MONTAGNE,IKM
1813,IK PIED SKI,IKS
1814,FRAIS DE DEPLACEMENT VACATION,IKG
1821,"ID PARIS LYON MARSEILLE, +100.000 HA, -100.000 HA",ID
1841,INDEMNITES FORFAITAIRES DE DEPLACEMENT,IF
1842,INDEMNITES FORFAITAIRES DE DEPLACEMENT DES AUXILIAIRES MEDICAUX ET ASSIMILES,IFA
1843,INDEMNITES FORFAITAIRES DE DEPLACEMENT MK ORTHOPEDIQUE ET RHUMATOLOGIQUE,IFO
1844,INDEMNITES FORFAITAIRES DE DEPLACEMENT MK RHUMATISMALE,IFR
1845,INDEMNITE FORFAITAIRE DEPLACEMENT NEUROLOGIQUE,IFN
1846,INDEMNITES FORFAITAIRES DE DEPLACEMENT MK PNEUMOLOGIE,IFP
1847,INDEMNITES FORFAITAIRES DE DEPLACEMENT DE SORTIE,IFS
1848,INDEMNITES FORFAITAIRES DEPLACEMENT INFIRMIERS,IFI
1849,INDEMNITE FORFAITAIRE DEPLACEMENT MK PERS. AGEE,IFV
1901,MAJORATION PERSONNES AGEES,MOP
1903,MAJORATION ENFANT GENERALISTE,MEG
1904,MAJORATION ENFANT PEDIATRE,MEP
1905,NOUVEAU FORFAIT ENFANT,NFE
1906,NOUVEAU FORFAIT PEDIATRIQUE,NFP
1907,REMUNERATION DES SOINS DE PROXIMITE,PRX
1908,FORFAIT SORTIE PRECOCE ET TEST GUTHRIE,SP2
1909,FORFAIT SORTIE PRECOCE,SP1
1910,Plan personnalisé de santé,PPS
1911,ACTES DES SAGES-FEMMES,SF
1912,HONORAIRES NON VENTILABLES INDIVIDUALISES,NA
